Name,Lat,Long,Gen Type 
Childers SF 33.0,-25.30585921812505,152.43432519587046
Childers SF 33.0,-25.30585921812505,152.43432519587046
Childers SF 33.0,-25.30585921812505,152.43432519587046
Childers SF 33.0,-25.30585921812505,152.43432519587046
Childers SF 33.0,-25.30585921812505,152.43432519587046
Aramara SF 132.0,-25.583308201001678,152.33446796760444
SURI 33.0,-25.42296154,152.74442157
SURI 33.0,-25.42296154,152.74442157
SURI 33.0,-25.42296154,152.74442157
SURI 33.0,-25.42296154,152.74442157
SURI 33.0,-25.42296154,152.74442157
